number,name,name_full,personal_name,suffix,suffix_L,name_L,canonization,birth,DMY_birth,birth_place,start,DMY_start,end,DMY_end,age_start,age_end,tenure,notes,wiki
18,Pontian,Pontian,NA,1,Primus,PONTIANVS,Saint,0175-06-30T00:00:00Z,30/06/175,"Rome, Italia, Roman Empire",0230-08-21T00:00:00Z,21/08/230,0235-09-28T00:00:00Z,28/09/235,55,60,5.103825136612020,"Roman citizen. First to abdicate after exile to Sardinia by Emperor Maximinus Thrax. The Liberian Catalogue records his death on 28 September 235, the earliest exact date in papal history.",https://en.wikipedia.org/wiki/Pope_Pontian
19,Anterus,Anterus,NA,1,Primus,ANTERVS,Saint,0180-06-30T00:00:00Z,30/06/180,"Petelia, Italy, Roman Empire",0235-11-21T00:00:00Z,21/11/235,0236-01-03T00:00:00Z,03/01/236,55,55,0.11748633879781400,"Roman citizen of Greek descent (Constitutio Antoniniana). Feast day 3 January. Also revered as a saint in Eastern Christianity, with a feast day of 5 August.",https://en.wikipedia.org/wiki/Pope_Anterus
20,Fabian,Fabian,NA,1,Primus,FABIANVS,Saint,0200-06-30T00:00:00Z,30/06/200,"Rome, Italia, Roman Empire",0236-01-10T00:00:00Z,10/01/236,0250-01-20T00:00:00Z,20/01/250,35,49,14.027397260274000,"Roman citizen. Divided the communities of Rome into seven districts, each supervised by a deacon. Feast day 20 January. Also revered as a saint in Eastern Christianity, with a feast day of 5 August.",https://en.wikipedia.org/wiki/Pope_Fabian
21,Cornelius,Cornelius,NA,1,Primus,CORNELIVS,Saint,0180-06-30T00:00:00Z,30/06/180,"Rome, Italia, Roman Empire",0251-03-06T00:00:00Z,06/03/251,0253-06-25T00:00:00Z,25/06/253,70,72,2.304109589041100,Roman citizen. Died as a martyr through extreme hardship; feast day 16 September.,https://en.wikipedia.org/wiki/Pope_Cornelius
22,Lucius,Lucius I,NA,1,Primus,LUCIVS,Saint,0200-06-30T00:00:00Z,30/06/200,"Rome, Italia, Roman Empire",0253-06-25T00:00:00Z,25/06/253,0254-03-05T00:00:00Z,05/03/254,52,53,0.6931506849315070,Roman citizen. Feast day 5 March.,https://en.wikipedia.org/wiki/Pope_Lucius_I
23,Stephen,Stephen I,NA,1,Primus,STEPHANVS,Saint,0205-06-30T00:00:00Z,30/06/205,"Rome, Italia, Roman Empire",0254-03-12T00:00:00Z,12/03/254,0257-08-02T00:00:00Z,02/08/257,48,52,3.3917808219178100,"Roman citizen of Greek descent (Constitutio Antoniniana). Martyred by beheading; feast day 2 August. Also revered as a saint in Eastern Christianity, with the same feast day.",https://en.wikipedia.org/wiki/Pope_Stephen_I
24,Sixtus,Sixtus II,NA,2,Secundus,SYXTVS,Saint,0215-06-30T00:00:00Z,30/06/215,"Athens, Achaea, Roman Empire",0257-08-30T00:00:00Z,30/08/257,0258-08-06T00:00:00Z,06/08/258,42,43,0.9342465753424660,"Roman citizen of Greek descent (Constitutio Antoniniana). Martyred by beheading. Also revered as a saint in Eastern Christianity, with a feast day of 10 August.",https://en.wikipedia.org/wiki/Pope_Sixtus_II
25,Dionysius,Dionysius,NA,1,Primus,DIONYSIVS,Saint,0200-06-30T00:00:00Z,30/06/200,"Terra Nova, Italy, Roman Empire",0259-07-22T00:00:00Z,22/07/259,0268-12-26T00:00:00Z,26/12/268,59,68,9.43013698630137,Roman citizen of Greek descent (Constitutio Antoniniana). Feast day 26 December.,https://en.wikipedia.org/wiki/Pope_Dionysius
26,Felix,Felix I,NA,1,Primus,FELIX,Saint,0206-06-30T00:00:00Z,30/06/206,"Rome, Italy Roman Empire",0269-01-05T00:00:00Z,05/01/269,0274-12-30T00:00:00Z,30/12/274,62,68,5.983561643835620,Roman citizen. Feast day 30 December.,https://en.wikipedia.org/wiki/Pope_Felix_I
27,Eutychian,Eutychian,NA,1,Primus,EVTYCHIANVS,Saint,0240-06-30T00:00:00Z,30/06/240,"Luna, Italy, Roman Empire (Now Luni, Italy)",0275-01-04T00:00:00Z,04/01/275,0283-12-07T00:00:00Z,07/12/283,34,43,8.923287671232880,Roman citizen. Feast day 8 December.,https://en.wikipedia.org/wiki/Pope_Eutychian
28,Caius,Caius,NA,1,Primus,CAIVS,Saint,0245-06-30T00:00:00Z,30/06/245,"Salona, Dalmatia, Roman Empire",0283-12-17T00:00:00Z,17/12/283,0296-04-22T00:00:00Z,22/04/296,38,50,12.346994535519100,"Roman citizen. Martyred by beheading (according to legend). Feast day 22 April. Also revered as a saint in Eastern Christianity, with a feast day of 11 August.",https://en.wikipedia.org/wiki/Pope_Caius
29,Marcellinus,Marcellinus,NA,1,Primus,MARCELLINVS,Saint,0250-06-30T00:00:00Z,30/06/250,"Rome, Italy, Roman Empire",0296-06-30T00:00:00Z,30/06/296,0304-04-26T00:00:00Z,26/04/304,46,53,7.8224043715847,"Roman citizen. Feast day 26 April. Also revered as a saint in Eastern Christianity, with a feast day of 7 June.",https://en.wikipedia.org/wiki/Pope_Marcellinus
30,Marcellus,Marcellus I,NA,1,Primus,MARCELLVS,Saint,0255-06-30T00:00:00Z,30/06/255,"Rome, Italy, Roman Empire",0308-05-27T00:00:00Z,27/05/308,0309-01-16T00:00:00Z,16/01/309,52,53,0.6410958904109590,Roman citizen. Feast day 16 January. Banished from Rome under Maxentius (309).,https://en.wikipedia.org/wiki/Pope_Marcellus_I
31,Eusebius,Eusebius,NA,1,Primus,EVSEBIVS,Saint,0255-06-30T00:00:00Z,30/06/255,"Achaea, Roman Empire",0309-04-18T00:00:00Z,18/04/309,0310-08-17T00:00:00Z,17/08/310,53,55,1.3315068493150700,"Roman citizen of Greek descent. Feast day 17 August. Banished by the emperor Maxentius, and died in exile.",https://en.wikipedia.org/wiki/Pope_Eusebius
32,Miltiades,Miltiades,NA,1,Primus,MILTIADES,Saint,0270-06-30T00:00:00Z,30/06/270,"Africa, Roman Empire",0311-07-02T00:00:00Z,02/07/311,0314-01-10T00:00:00Z,10/01/314,41,43,2.526027397260270,Roman citizen of Berber descent. Feast day 10 January. First pope after the end of the persecution of Christians through the Edict of Milan (313 AD) issued by Constantine the Great. Presided over the Lateran council of 313.,https://en.wikipedia.org/wiki/Pope_Miltiades
33,Sylvester,Sylvester I,NA,1,Primus,SILVESTER,Saint,0285-06-30T00:00:00Z,30/06/285,"Fanum Sancti Angeli de Scala, Apulia et Calabria, Roman Empire",0314-01-31T00:00:00Z,31/01/314,0335-12-31T00:00:00Z,31/12/335,28,50,21.915068493150700,"Roman citizen. Feast day 31 December. Also revered as a saint in Eastern Christianity, with a feast day of 2 January. Pope during the First Council of Nicaea (325), the first ecumenical council. Under him was built: the Archbasilica of Saint John Lateran, Santa Croce in Gerusalemme and Old St. Peter's Basilica. Stated to be the recipient of the Donation of Constantine, which was later shown to be a forgery.",https://en.wikipedia.org/wiki/Pope_Sylvester_I
34,Mark,Mark,NA,1,Primus,MARCVS,Saint,0290-06-30T00:00:00Z,30/06/290,"Rome, Italy, Roman Empire",0336-01-18T00:00:00Z,18/01/336,0336-10-07T00:00:00Z,07/10/336,45,46,0.7185792349726780,"Roman citizen. One of Mark's undertakings was to compile stories of the lives of martyrs and bishops before his time. There is some reason to believe he founded two churches in the area of Rome. One of them is still known to this day as the Church of San Marco, although it is greatly changed since his time. The other church was at the Catacomb of Balbina, a cemetery. Emperor Constantine gave gifts of land and furnishing for both buildings. Feast day 7 October.",https://en.wikipedia.org/wiki/Pope_Mark
35,Julius,Julius I,NA,1,Primus,IVLIVS,Saint,0280-06-30T00:00:00Z,30/06/280,"Rome, Italy, Roman Empire",0337-02-06T00:00:00Z,06/02/337,0352-04-12T00:00:00Z,12/04/352,56,71,15.180327868852500,"Roman citizen. He was involved in the Arian controversy, supporting Athanasius of Alexandria.",https://en.wikipedia.org/wiki/Pope_Julius_I
36,Liberius,Liberius,NA,1,Primus,LIBERIVS,NA,0310-06-30T00:00:00Z,30/06/310,"Rome, Italy, Roman Empire",0352-05-17T00:00:00Z,17/05/352,0366-09-24T00:00:00Z,24/09/366,41,56,14.356164383561600,"Roman citizen. Banished by the Arian-leaning Emperor Constantius II and later yielding to him. Earliest pope not canonized by the Latin Church. Revered as a saint in Eastern Christianity, with a feast day of 27 August.",https://en.wikipedia.org/wiki/Pope_Liberius
37,Damasus,Damasus I,NA,1,Primus,DAMASVS,Saint,0305-06-30T00:00:00Z,30/06/305," Egitania, Lusitania or Rome, Italy, Roman Empire",0366-10-01T00:00:00Z,01/10/366,0384-12-11T00:00:00Z,11/12/384,61,79,18.194520547945200,"Roman citizen. The first pope from modern-day Portugal. Patron of Jerome, commissioned the Vulgate translation of the Bible. Pope during the First Council of Constantinople (381), the second ecumenical council, and the Council of Rome (382). First pope to be the official head of the church after the Emperor Gratian abdicates the title of ""Pontifex Maximus"".",https://en.wikipedia.org/wiki/Pope_Damasus_I
38,Siricius,Siricius,NA,1,Primus,SIRICIVS,Saint,0334-06-30T00:00:00Z,30/06/334,"Rome, Italy, Roman Empire",0384-12-17T00:00:00Z,17/12/384,0399-11-26T00:00:00Z,26/11/399,50,65,14.942465753424700,"Roman citizen. His famous letters—the earliest surviving texts of papal decretals—focus particularly on religious discipline and include decisions on baptism, consecration, ordination, penance, and continence. Siricius' important decretal of 386 (written to Bishop Himerius of Tarragona), commanding celibacy for priests, was the first decree on this subject.",https://en.wikipedia.org/wiki/Pope_Siricius
39,Anastasius,Anastasius I,NA,1,Primus,ANASTASIVS,Saint,0340-06-30T00:00:00Z,30/06/340,"Rome, Italy, Roman Empire",0399-11-27T00:00:00Z,27/11/399,0401-12-19T00:00:00Z,19/12/401,59,61,2.0602739726027400,Roman citizen. Instructed priests to stand and bow their heads as they read from the Gospels.,https://en.wikipedia.org/wiki/Pope_Anastasius_I
40,Innocent,Innocent I,NA,1,Primus,INNOCENTIVS,Saint,0378-06-30T00:00:00Z,30/06/378,"Albanum, Latium et Campania, Roman Empire",0401-12-21T00:00:00Z,21/12/401,0417-03-12T00:00:00Z,12/03/417,23,38,15.221917808219200,Roman citizen. Visigoth Sack of Rome (410) under Alaric I.,https://en.wikipedia.org/wiki/Pope_Innocent_I
41,Zosimus,Zosimus,NA,1,Primus,ZOSIMVS,Saint,0370-06-30T00:00:00Z,30/06/370,"Messurga, Lucania et Bruttii, Roman Empire",0417-03-18T00:00:00Z,18/03/417,0418-12-26T00:00:00Z,26/12/418,46,48,1.7753424657534200,Roman citizen of Greek descent.,https://en.wikipedia.org/wiki/Pope_Zosimus
42,Boniface,Boniface I,NA,1,Primus,BONIFACIVS,Saint,0377-06-30T00:00:00Z,30/06/377,"Rome, Italy, Roman Empire",0418-12-28T00:00:00Z,28/12/418,0422-09-04T00:00:00Z,04/09/422,41,45,3.684931506849320,Roman citizen.,https://en.wikipedia.org/wiki/Pope_Boniface_I
43,Celestine,Celestine I,NA,1,Primus,CAELESTINVS,Saint,0380-06-30T00:00:00Z,30/06/380,"Campania, Roman Empire",0422-09-10T00:00:00Z,10/09/422,0432-07-27T00:00:00Z,27/07/432,42,52,9.87704918032787,"Roman citizen. Also revered as a saint in Eastern Christianity, with a feast day of 8 April. Pope during the Council of Ephesus (431), the third ecumenical council recognized by the Catholic, Eastern Orthodox, and Oriental Orthodox churches.",https://en.wikipedia.org/wiki/Pope_Celestine_I
44,Sixtus,Sixtus III,NA,3,Tertius,SYXTVS,Saint,0390-06-30T00:00:00Z,30/06/390,"Rome, Italy, Roman Empire",0432-07-31T00:00:00Z,31/07/432,0440-08-18T00:00:00Z,18/08/440,42,50,8.04931506849315,Roman citizen.,https://en.wikipedia.org/wiki/Pope_Sixtus_III
45,Leo,Leo I,NA,1,Primus,LEO MAGNVS,Saint,0390-06-30T00:00:00Z,30/06/390,"Etruria, Italia, Roman Empire",0440-09-29T00:00:00Z,29/09/440,0461-11-10T00:00:00Z,10/11/461,50,71,21.115068493150700,"Roman citizen. Convinced Attila the Hun to turn back his invasion of Italy. Convinced the Vandals to spare the lives of the citizenry of Rome during their sack of the city. Wrote the Tome which was instrumental in the Council of Chalcedon (451) and in defining the hypostatic union. Feast day 10 November. Also revered as a saint in Eastern Christianity, with a feast day of 18 February.",https://en.wikipedia.org/wiki/Pope_Leo_I
46,Hilary,Hilary,NA,1,Primus,HILARIVS,Saint,0400-06-30T00:00:00Z,30/06/400,"Sardinia, Italy, Western Roman Empire",0461-11-19T00:00:00Z,19/11/461,0468-02-29T00:00:00Z,29/02/468,61,67,6.278688524590160,Roman citizen.,https://en.wikipedia.org/wiki/Pope_Hilarius
47,Simplicius,Simplicius,NA,1,Primus,SIMPLICIVS,Saint,0430-06-30T00:00:00Z,30/06/430,"Tibur, Italy, Western Roman Empire",0468-03-03T00:00:00Z,03/03/468,0483-03-10T00:00:00Z,10/03/483,37,52,15.019125683060100,"Roman citizen, later a subject of the Kingdom of Italy. Papacy during the collapse of the Western Roman Empire and subsequent overtaking of Rome and Italy in general by Odoacer.",https://en.wikipedia.org/wiki/Pope_Simplicius
48,Felix,Felix III,NA,3,Tertius,FELIX,Saint,0440-06-30T00:00:00Z,30/06/440,"Rome, Italy, Western Roman Empire",0483-03-13T00:00:00Z,13/03/483,0492-03-01T00:00:00Z,01/03/492,42,51,8.967213114754100,"Roman citizen, later a subject of the Kingdom of Italy. Sometimes called Felix II. Great-great-grandfather of pope Gregory I.",https://en.wikipedia.org/wiki/Pope_Felix_III
49,Gelasius,Gelasius I,NA,1,Primus,GELASIVS,Saint,0410-06-30T00:00:00Z,30/06/410,"Mons Ferratus, Quinquegentiani, Africa, Western Roman Empire",0492-03-01T00:00:00Z,01/03/492,0496-11-21T00:00:00Z,21/11/496,81,86,4.726027397260270,"Roman citizen of Berber descent, later a subject of the (Ostrogothic) Kingdom of Italy; the last pope to have been born on the continent of Africa. The first pope called the ""Vicar of Christ"".",https://en.wikipedia.org/wiki/Pope_Gelasius_I
50,Anastasius,Anastasius II,NA,2,Secundus,ANASTASIVS,NA,0445-06-30T00:00:00Z,30/06/445,"Rome, Italy, Western Roman Empire",0496-11-24T00:00:00Z,24/11/496,0498-11-19T00:00:00Z,19/11/498,51,53,1.9863013698630100,"Roman citizen of Greek descent, later a subject of the (Ostrogothic) Kingdom of Italy. Tried to end the Acacian schism but it resulted in the Laurentian schism. Earliest pope not canonized by either the Latin Church or the Eastern Church.",https://en.wikipedia.org/wiki/Pope_Anastasius_II
51,Symmachus,Symmachus,NA,1,Primus,SYMMACHVS,Saint,0460-06-30T00:00:00Z,30/06/460,"Sardinia, Italy, Western Roman Empire",0498-11-22T00:00:00Z,22/11/498,0514-07-19T00:00:00Z,19/07/514,38,54,15.654794520547900,"Roman citizen, later a subject of the (Ostrogothic) Kingdom of Italy.",https://en.wikipedia.org/wiki/Pope_Symmachus
52,Hormisdas,Hormisdas,NA,1,Primus,HORMISDAS,Saint,0450-06-30T00:00:00Z,30/06/450,"Frusino, Italy, Western Roman Empire",0514-07-20T00:00:00Z,20/07/514,0523-08-06T00:00:00Z,06/08/523,64,73,9.046448087431690,"Roman citizen, later a subject of the (Ostrogothic) Kingdom of Italy. Father of Pope Silverius. Acacian schism.",https://en.wikipedia.org/wiki/Pope_Hormisdas
53,John,John I,NA,1,Primus,IOANNES,Saint,0470-06-30T00:00:00Z,30/06/470,"Sena Iulia, Italy, Western Roman Empire",0523-08-13T00:00:00Z,13/08/523,0526-05-18T00:00:00Z,18/05/526,53,55,2.7616438356164400,"Roman citizen, later a subject of the (Ostrogothic) Kingdom of Italy.",https://en.wikipedia.org/wiki/Pope_John_I
54,Felix,Felix IV,NA,4,Quartus,FELIX,Saint,0490-06-30T00:00:00Z,30/06/490,"Samnium, Kingdom of Odoacer",0526-07-12T00:00:00Z,12/07/526,0530-09-22T00:00:00Z,22/09/530,36,40,4.197260273972600,Subject of the (Ostrogothic) Kingdom of Italy of Roman descent. Sometimes called Felix III. Built Santi Cosma e Damiano.,https://en.wikipedia.org/wiki/Pope_Felix_IV
55,Boniface,Boniface II,NA,2,Secundus,BONIFACIVS,NA,0490-06-30T00:00:00Z,30/06/490,"Rome, Kingdom of Odoacer",0530-09-22T00:00:00Z,22/09/530,0532-10-17T00:00:00Z,17/10/532,40,42,2.0684931506849300,Ostrogoth; Subject of the (Ostrogothic) Kingdom of Italy. First Germanic pope. Changed the numbering of the years in the Julian Calendar from the Era of the Martyrs to Anno Domini.,https://en.wikipedia.org/wiki/Pope_Boniface_II
56,John,John II,NA,2,Secundus,IOANNES,NA,0473-06-30T00:00:00Z,30/06/473,"Rome, Western Roman Empire",0533-01-02T00:00:00Z,02/01/533,0535-05-08T00:00:00Z,08/05/535,59,61,2.345205479452060,"Roman citizen, later a subject of the (Ostrogothic) Kingdom of Italy. First pope not to use his personal name, as it was associated with a Roman god, Mercury.",https://en.wikipedia.org/wiki/Pope_John_II
57,Agapetus,Agapetus I,NA,1,Primus,AGAPETVS,Saint,0490-06-30T00:00:00Z,30/06/490,"Rome, Kingdom of Odoacer",0535-05-13T00:00:00Z,13/05/535,0536-04-22T00:00:00Z,22/04/536,44,45,0.9426229508196720,"Subject of the (Ostrogothic) Kingdom of Italy of Roman descent. Feast days 22 April and 20 September. Also revered as a saint in Eastern Christianity, with a feast day of 17 April.",https://en.wikipedia.org/wiki/Pope_Agapetus_I
58,Silverius,Silverius,NA,1,Primus,SILVERIVS,Saint,0480-06-30T00:00:00Z,30/06/480,"Cicanum, Ostrogothic Kingdom",0536-06-08T00:00:00Z,08/06/536,0537-03-11T00:00:00Z,11/03/537,55,56,0.7561643835616440,"Subject of Kingdom of Italy under Odoacer and later under Ostrogoths. Was of Roman descent. Exiled; feast day 20 June, son of Hormisdas.",https://en.wikipedia.org/wiki/Pope_Silverius
59,Vigilius,Vigilius,NA,1,Primus,VIGILIVS,NA,0500-06-30T00:00:00Z,30/06/500,"Rome, Kingdom of Odoacer",0537-03-29T00:00:00Z,29/03/537,0555-06-07T00:00:00Z,07/06/555,36,54,18.19125683060110,"Subject of the (Ostrogothic) Kingdom of Italy, later a (Eastern) Roman citizen. Was of Roman ethnicity. Pope during the Second Council of Constantinople (553), the fifth ecumenical council recognized by the Catholic and Eastern Orthodox churches.",https://en.wikipedia.org/wiki/Pope_Vigilius
60,Pelagius,Pelagius I,NA,1,Primus,PELAGIVS,NA,0505-06-30T00:00:00Z,30/06/505,"Rome, Ostrogothic Kingdom",0556-04-16T00:00:00Z,16/04/556,0561-03-04T00:00:00Z,04/03/561,50,55,4.882191780821920,"Subject of the (Ostrogothic) Kingdom of Italy, later a (Eastern) Roman citizen. Was of Roman ethnicity. Credited with the construction of the basilica of Santi Apostoli.",https://en.wikipedia.org/wiki/Pope_Pelagius_I
61,John,John III,NA,3,Tertius,IOANNES,NA,0520-06-30T00:00:00Z,30/06/520,"Rome, Ostrogothic Kingdom",0561-07-17T00:00:00Z,17/07/561,0574-07-13T00:00:00Z,13/07/574,41,54,12.98904109589040,"Subject of the (Ostrogothic) Kingdom of Italy, later a (Eastern) Roman citizen. Was of Roman ethnicity. Second Pope not to use his personal name.",https://en.wikipedia.org/wiki/Pope_John_III
